,dates,vp_mean,rh_mean,temp_mean,precip_total,NDVI,Week_Number,Year,Total Eggs,Sensor Counts,Total Mean Eggs,year,month,iso_week,Nino34_SST,Nino34_SSTA,SST,SSTA,precip_total_mm
0,1991-07-10,13.148113085259284,86.46644955287161,19.184135704300047,0.0085836485505588,,28,1991,,,,1991,7,28,27.9,0.5,27.9,0.5,8.583648550558799
1,1991-07-17,10.855536774665175,84.57401318623849,10.54315243416096,0.0124416421566136,,29,1991,,,,1991,7,29,27.9,0.7,27.9,0.7,12.4416421566136
2,1991-07-24,10.532717184645742,78.1704553898936,11.247587873497764,0.0076470128424099,,30,1991,,,,1991,7,30,27.4,0.2,27.4,0.2,7.6470128424099
3,1991-07-31,13.196306145690178,77.4025864454684,14.65253130075888,0.0102310526992955,,31,1991,,,,1991,7,31,27.6,0.6,27.6,0.6,10.2310526992955
4,1991-08-07,8.135906665314671,70.72111952200775,9.000227501278857,0.0045525941597282,,32,1991,,,,1991,8,32,27.5,0.6,27.5,0.6,4.5525941597282005
5,1991-08-14,9.034238788123744,74.72371139626313,9.892485113857616,0.006765649899251,,33,1991,,,,1991,8,33,27.6,0.7,27.6,0.7,6.765649899251001
6,1991-08-21,14.559543691339556,69.4992783005041,18.5292689732143,0.0006206159482659,,34,1991,,,,1991,8,34,27.6,0.8,27.6,0.8,0.6206159482658999
7,1991-08-28,15.440680134042138,75.56389280700066,18.216358581854365,0.0135699282796797,,35,1991,,,,1991,8,35,27.1,0.4,27.1,0.4,13.569928279679699
8,1991-09-04,16.090684468491606,84.94060134321937,16.686835770380014,0.0237291226768872,,36,1991,,,,1991,9,36,26.9,0.2,26.9,0.2,23.7291226768872
9,1991-09-11,15.975789053056715,79.82470483120667,17.558023707071982,0.0111527764049306,,37,1991,,,,1991,9,37,26.7,0.0,26.7,0.0,11.1527764049306
10,1991-09-18,15.66020118949248,76.91315732820516,17.963721302577426,0.0075564918166151,,38,1991,,,,1991,9,38,27.2,0.6,27.2,0.6,7.556491816615099
11,1991-09-25,13.50732908256606,66.02155549166352,18.391103752292,0.0070083004325981,,39,1991,,,,1991,9,39,27.2,0.5,27.2,0.5,7.0083004325981
12,1991-10-02,15.017738531098106,75.217930910898,17.503570616326385,0.0194893348133098,,40,1991,,,,1991,10,40,27.2,0.5,27.2,0.5,19.4893348133098
13,1991-10-09,13.433124759993868,77.13728816450339,14.819496201495724,0.0241512207627465,,41,1991,,,,1991,10,41,27.6,0.9,27.6,0.9,24.151220762746497
14,1991-10-16,15.13379280078927,62.533013663625646,20.55199738067836,0.003177121263913,,42,1991,,,,1991,10,42,27.3,0.6,27.3,0.6,3.177121263913
15,1991-10-23,13.154487213440834,57.47199700104131,19.925922323732948,0.0024643041391431,,43,1991,,,,1991,10,43,27.2,0.5,27.2,0.5,2.4643041391431
16,1991-10-30,16.31132872966421,66.43346622453686,20.7656361793986,0.0210143920007063,,44,1991,,,,1991,10,44,27.4,0.6,27.4,0.6,21.014392000706298
17,1991-11-06,18.947189433487427,86.99914749277148,18.978872151277585,0.0596416856992065,,45,1991,,,,1991,11,45,27.6,0.8,27.6,0.8,59.6416856992065
18,1991-11-13,17.84108912216726,84.72194624666776,18.457437367341925,0.0671827011367603,,46,1991,,,,1991,11,46,27.7,1.0,27.7,1.0,67.1827011367603
19,1991-11-20,16.224017107774056,80.63930038319242,17.759280387722697,0.0534240436409097,,47,1991,,,,1991,11,47,27.6,0.8,27.6,0.8,53.424043640909694
20,1991-11-27,21.13142212165384,83.10083331111197,21.44984893539328,0.0610960504319564,,48,1991,,,,1991,11,48,27.9,1.2,27.9,1.2,61.0960504319564
21,1991-12-04,21.808974745707733,80.82816178874351,22.498119076579545,0.0269549558895099,,49,1991,,,,1991,12,49,27.9,1.3,27.9,1.3,26.9549558895099
22,1991-12-11,22.10646404362928,81.03761728304751,22.73846207962555,0.0464159347843714,,50,1991,,,,1991,12,50,28.1,1.5,28.1,1.5,46.4159347843714
23,1991-12-18,19.4546854486249,79.95683513695955,20.86272310529438,0.0306000294986006,,51,1991,,,,1991,12,51,28.2,1.6,28.2,1.6,30.6000294986006
24,1991-12-25,23.293435373981342,81.42685886012968,23.580816938439227,0.0522311797202844,,52,1991,,,,1991,12,52,28.2,1.7,28.2,1.7,52.231179720284395
25,1992-01-01,21.70247029708311,85.22558741744841,21.406792564132616,0.1182231926507516,,1,1992,,,,1992,1,1,28.3,1.8,28.3,1.8,118.2231926507516
26,1992-01-08,22.92152290731009,86.54282859232073,22.105767926066903,0.0826703191024452,,2,1992,,,,1992,1,2,28.3,1.8,28.3,1.8,82.67031910244519
27,1992-01-15,23.75012753388082,90.85748223505026,21.866831041193336,0.1128930755509632,,3,1992,,,,1992,1,3,28.2,1.8,28.2,1.8,112.8930755509632
28,1992-01-22,19.707055806431725,85.10765881263782,19.933380536968286,0.0881913733318729,,4,1992,,,,1992,1,4,28.2,1.7,28.2,1.7,88.1913733318729
29,1992-01-29,22.036246654017145,83.33438843286736,22.145522767670343,0.0171725934766381,,5,1992,,,,1992,1,5,28.1,1.6,28.1,1.6,17.1725934766381
30,1992-02-05,20.8505663235708,82.34623929655952,21.431402499659555,0.0328958063526881,,6,1992,,,,1992,2,6,28.0,1.5,28.0,1.5,32.8958063526881
31,1992-02-12,22.935349846416237,86.85746285560653,22.12185315501938,0.0720197314007984,,7,1992,,,,1992,2,7,28.3,1.7,28.3,1.7,72.01973140079839
32,1992-02-19,22.56929441743717,89.9163779485624,21.249038042341,0.0736197624253155,,8,1992,,,,1992,2,8,28.5,1.7,28.5,1.7,73.6197624253155
33,1992-02-26,20.87981212490848,86.50784849847881,20.41573216444783,0.0472781497561948,,9,1992,,,,1992,2,9,28.4,1.6,28.4,1.6,47.2781497561948
34,1992-03-04,21.01011580870433,86.47197313981405,20.72176640828457,0.0259886176919589,,10,1992,,,,1992,3,10,28.2,1.3,28.2,1.3,25.988617691958897
35,1992-03-11,22.671931119237765,84.37282706773698,22.380317877425625,0.0174652133484153,,11,1992,,,,1992,3,11,28.3,1.2,28.3,1.2,17.4652133484153
36,1992-03-18,21.708474984139627,85.05854821502655,21.552660852549025,0.0271151123298294,,12,1992,,,,1992,3,12,28.4,1.1,28.4,1.1,27.1151123298294
37,1992-03-25,20.87777629238117,83.56991522087286,20.84832516624823,0.0514089077622951,,13,1992,,,,1992,3,13,28.5,1.1,28.5,1.1,51.4089077622951
38,1992-04-01,17.471616046916587,84.7617743436468,18.001808304040594,0.0244296782270647,,14,1992,,,,1992,4,14,28.7,1.2,28.7,1.2,24.4296782270647
39,1992-04-08,21.75252830523711,90.02093440620408,20.433531970069566,0.0650192845185659,,15,1992,,,,1992,4,15,28.8,1.2,28.8,1.2,65.0192845185659
40,1992-04-15,15.197519702061356,78.64189916406285,16.967570098565602,0.0080315967479123,,16,1992,,,,1992,4,16,28.9,1.1,28.9,1.1,8.0315967479123
41,1992-04-22,18.24369125093444,86.25533289153357,18.49247264991817,0.0234726892479767,,17,1992,,,,1992,4,17,28.7,0.9,28.7,0.9,23.4726892479767
42,1992-04-29,19.277782118064284,89.2245525579034,18.80669437590103,0.0346600056800688,,18,1992,,,,1992,4,18,28.9,1.0,28.9,1.0,34.6600056800688
43,1992-05-06,14.132302579827575,88.74646073978035,13.809992947221644,0.0149724646060219,,19,1992,,,,1992,5,19,28.9,1.0,28.9,1.0,14.9724646060219
44,1992-05-13,19.67472171842978,90.5399759895764,18.87715990494712,0.0174785849285576,,20,1992,,,,1992,5,20,28.8,0.9,28.8,0.9,17.478584928557602
45,1992-05-20,17.11666731823688,89.68891988333789,16.760118868561847,0.0169554429027586,,21,1992,,,,1992,5,21,28.8,1.0,28.8,1.0,16.9554429027586
46,1992-05-27,14.502560159338271,86.21290570033754,14.852943856375532,0.0080744281179525,,22,1992,,,,1992,5,22,28.7,0.9,28.7,0.9,8.0744281179525
47,1992-06-03,10.642224697171644,84.81903599445539,10.12669737939126,0.0108118046415636,,23,1992,,,,1992,6,23,28.4,0.6,28.4,0.6,10.8118046415636
48,1992-06-10,13.549562078382396,84.8458123605535,13.981969685457216,0.006252165514484,,24,1992,,,,1992,6,24,28.2,0.5,28.2,0.5,6.252165514484
49,1992-06-17,14.478066498289222,88.99507795090135,14.037050786959073,0.0099788419004021,,25,1992,,,,1992,6,25,28.1,0.5,28.1,0.5,9.9788419004021
50,1992-06-24,18.538745609373063,92.16702921499046,17.643782850512082,0.0168359531944497,,26,1992,,,,1992,6,26,27.9,0.4,27.9,0.4,16.8359531944497
51,1992-07-01,13.024653874058831,84.9747717707981,12.828703725905656,0.0076393197014417,,27,1992,,,,1992,7,27,27.6,0.1,27.6,0.1,7.6393197014417
52,1992-07-08,9.236382392016296,78.03838307785011,9.4741858605625,0.0035939346155749,,28,1992,,,,1992,7,28,27.7,0.4,27.7,0.4,3.5939346155749
53,1992-07-15,12.04984333273991,80.8854680964268,12.56760747221864,0.012759333904715,,29,1992,,,,1992,7,29,27.4,0.1,27.4,0.1,12.759333904715
54,1992-07-22,7.203293814076354,75.9622650025777,6.349945984405736,0.0078101095062003,,30,1992,,,,1992,7,30,27.3,0.1,27.3,0.1,7.8101095062003
